GenusSpecies,query,wormsid
Abarenicola pacifica,Abarenicola pacifica,326192
Allorchestes angusta cmplx,Allorchestes angusta cmplx,NA
Alvania compacta,Alvania compacta,580527
Amaeana occidentalis,Amaeana occidentalis,332917
Americorophium brevis,Americorophium brevis,431325
Americorophium salmonis,Americorophium salmonis,431328
Amphipoda,Amphipoda,NA
Amphiporus sp,Amphiporus,NA
Ampithoe sp,Ampithoe,102003
Ampithoe valida,Ampithoe valida,NA
Anisogammarus pugettensis,Anisogammarus pugettensis,NA
Annelida,Annelida,NA
Anomiidae,Anomiidae,214
Aphelochaeta monilaris,Aphelochaeta monilaris,NA
Aphelochaeta sp,Aphelochaeta,NA
Archaeomysis grebnitzkii,Archaeomysis grebnitzkii,226485
Armandia brevis,Armandia brevis,NA
Balanus sp,Balanus,NA
Barantolla nr americana,Barantolla nr americana,NA
Bivalvia,Bivalvia,NA
Bivalvia sp 1,Bivalvia 1,NA
Brachyura,Brachyura,NA
Cancer magister,Cancer magister,452271
Capitella capitata cmplx,Capitella capitata cmplx,NA
Capitella capitata hyperspecies,Capitella capitata hyperspecies,NA
Carinoma mutabilis,Carinoma mutabilis,NA
Cerebratulus sp,Cerebratulus,NA
Cheirimedeia sp,Cheirimedeia,NA
Chironomidae,Chironomidae,NA
Chone sp,Chone,NA
Cirratulidae,Cirratulidae,919
Cirripedia,Cirripedia,1082
Clausidium vancouverense,Clausidium vancouverense,NA
Clinocardium nuttalli,Clinocardium nuttalli,381980
Clinocardium nuttallii,Clinocardium nuttallii,381980
Corophium sp,Corophium,NA
Corophium spinicorne,Corophiuminicorne,504222
Crangon alaskensis,Crangon alaskensis,NA
Crangon franciscorum,Crangon franciscorum,NA
Crangon sp,Crangon,NA
Cryptomya californica,Cryptomya californica,397065
Cumella vulgaris,Cumella vulgaris,NA
Cylichna attonsa,Cylichna attonsa,581401
Dendraster excentricus,Dendraster excentricus,NA
Diastylis santamariensis,Diastylis santamariensis,181981
Dipolydora brachycephala,Dipolydora brachycephala,NA
Dipolydora quadrilobata,Dipolydora quadrilobata,131121
Dipolydora socialis,Dipolydora socialis,131124
Edwardsia sipunculoides,Edwardsia sipunculoides,158241
Edwardsia sp,Edwardsia,856193
Edwardsiidae,Edwardsiidae,100665
Eobrolgus chumashi,Eobrolgus chumashi,548794
Eogammarus confervicolus,Eogammarus confervicolus,488606
Eohaustorius estuarius,Eohaustorius estuarius,491519
Epicaridea,Epicaridea,13795
Eteone californica,Eteone californica,327523
Eteone columbiensis,Eteone columbiensis,327525
Eteone lighti,Eteone lighti,337547
Eteone pacifica,Eteone pacifica,254735
Eteone sp,Eteone,NA
Eumida longicornuta,Eumida longicornuta,333284
Euphysa sp C,Euphysa C,NA
Excirolana chiltoni,Excirolana chiltoni,258416
Excirolana vancouverensis,Excirolana vancouverensis,NA
Exogone lourei,Exogone lourei,327981
Fabriciinae,Fabriciinae,NA
Gammaridea,Gammaridea,1207
Gastropoda,Gastropoda,NA
Glycera americana,Glycera americana,157388
Glycera convoluta,Glycera convoluta,NA
Glycera nana,Glycera nana,328132
Glycinde armigera,Glycinde armigera,240633
Glycinde polygnatha,Glycinde polygnatha,240626
Glycinde sp,Glycinde,NA
Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,NA
Grandidierella japonica,Grandidierella japonica,238740
Grandifoxus grandis,Grandifoxus grandis,548986
Harpacticoida,Harpacticoida,NA
Hemicyclops sp,Hemicyclops,361395
Hemicyclops subadhaerens,Hemicyclops subadhaerens,352253
Hemigrapsus oregonensis,Hemigrapsus oregonensis,444778
Heptacarpus littoralis,Heptacarpus littoralis,589135
Hesperonoe complanata,Hesperonoe complanata,333616
Heteromastus filiformis,Heteromastus filiformis,NA
Heteromastus filobranchus,Heteromastus filobranchus,328370
Heteropodarke heteromorpha,Heteropodarke heteromorpha,NA
Hippolytidae,Hippolytidae,106777
Hobsonia florida,Hobsonia florida,333624
Idotea fewkesi,Idotea fewkesi,257347
Idotea sp,Idotea,257354
Koinocystididae,Koinocystididae,142096
Lacuna sp,Lacuna,NA
Lacuna vincta,Lacuna vincta,NA
Lamprops quadriplicata,Lamprops quadriplicata,157824
Leitoscoloplos nr panamensis,Leitoscoloplos nr panamensis,NA
Leitoscoloplos pugettensis,Leitoscoloplos pugettensis,254746
Leptochelia savignyi,Leptochelia savignyi,136475
Lineidae,Lineidae,122314
Listriolobus nr hexamyotus,Listriolobus nr hexamyotus,NA
Lumbrineridae,Lumbrineridae,967
Macoma balthica,Macoma balthica,141579
Macoma elimata,Macoma elimata,582757
Macoma inquinata,Macoma inquinata,NA
Macoma nasuta,Macoma nasuta,582761
Macoma sp,Macoma,NA
Macoma yoldiformis,Macoma yoldiformis,582763
Mactromeris polynyma,Mactromeris polynyma,156863
Magelona hobsonae,Magelona hobsonae,254748
Magelona pitelkai,Magelona pitelkai,329155
Magelona sacculata,Magelona sacculata,329161
Magelona sp,Magelona,578016
Manayunkia aestuarina,Manayunkia aestuarina,130926
Mediomastus acutus,Mediomastus acutus,329282
Mediomastus californiensis,Mediomastus californiensis,157483
Mediomastus sp,Mediomastus,NA
Melanochlamys diomedea,Melanochlamys diomedea,576296
Metacaprella sp,Metacaprella,NA
Microphthalmus sp,Microphthalmus,NA
Micropodarke dubia,Micropodarke dubia,334017
Micrura sp,Micrura,NA
Monocorophium acherusicum,Monocorophium acherusicum,225814
Monocorophium insidiosum,Monocorophium insidiosum,148592
Musculus sp,Musculus,NA
Mya arenaria,Mya arenaria,NA
Mytilus sp,Mytilus,NA
Naineris uncinata,Naineris uncinata,329420
Neanthes limnicola,Neanthes limnicola,NA
Nematoda,Nematoda,NA
Nemertea,Nemertea,NA
Neotrypaea californiensis,Neotrypaea californiensis,465347
Nephtys caeca,Nephtys caeca,NA
Nephtys caecoides,Nephtys caecoides,334136
Nephtys cornuta,Nephtys cornuta,NA
Nephtys sp,Nephtys,NA
Nereididae,Nereididae,NA
Nereis procera,Nereis procera,329725
Nereis vexillosa,Nereis vexillosa,329765
Nippoleucon hinumensis,Nippoleucon hinumensis,182361
Nipponemertes pacificus,Nipponemertes pacificus,NA
Nipponnemertes pacifica,Nipponnemertes pacifica,NA
No animals,No animals,NA
Nutricola tantilla,Nutricola tantilla,507789
Odostomia sp,Odostomia,NA
Oligochaeta,Oligochaeta,NA
Olivella pycna,Olivella pycna,710745
Olivella sp,Olivella,NA
Ophelia limacina,Ophelia limacina,NA
Ophiuroidea,Ophiuroidea,NA
Orbiniidae,Orbiniidae,902
Owenia fusiformis,Owenia fusiformis,NA
Palaeonemertea,Palaeonemertea,122307
Paleonemertea,Paleonemertea,NA
Paranemertes californica,Paranemertes californica,148114
Paraonella platybranchia,Paraonella platybranchia,NA
Paraonidae,Paraonidae,903
Pectinaria californiensis,Pectinaria californiensis,NA
Phoronida,Phoronida,NA
Phoronopsis sp,Phoronopsis,NA
Phoxocephalidae,Phoxocephalidae,101403
Phyllochaetopterus sp,Phyllochaetopterus,NA
Phyllodoce hartmanae,Phyllodoce hartmanae,330596
Phyllodoce longipes,Phyllodoce longipes,130673
Phyllodoce sp,Phyllodoce,NA
Pinnixa schmitti,Pinnixa schmitti,445062
Pinnixa sp,Pinnixa,NA
Platynereis bicanaliculata,Platynereis bicanaliculata,334557
Podarke sp,Podarke,NA
Podarkeopsis glabra,Podarkeopsis glabra,334566
Podocopida,Podocopida,NA
Polycirrinae,Polycirrinae,181512
Polydora cornuta,Polydora cornuta,131143
Polydora limicola,Polydora limicola,131147
Pontogeneia cf rostrata,Pontogeneia cf rostrata,NA
Prionospio (minuspio) lighti,Prionospio (minuspio) lighti,331101
Prionospio lighti,Prionospio lighti,558839
Prionospio sp,Prionospio,338541
Protodorvillea gracilis,Protodorvillea gracilis,334643
Protothaca staminea,Protothaca staminea,NA
Pseudopolydora kempi,Pseudopolydora kempi,NA
Pseudopolydora paucibranchiata,Pseudopolydora paucibranchiata,131168
Pseudopolydora sp,Pseudopolydora,NA
Pycnogonida,Pycnogonida,NA
Pygospio elegans,Pygospio elegans,131170
Rhepoxynius abronius,Rhepoxynius abronius,549002
Rhynchospio glutaea,Rhynchospio glutaea,174830
Rochefortia tumida,Rochefortia tumida,246818
Saxidomus gigantea,Saxidomus gigantea,NA
Scolelepis sp,Scolelepis,NA
Scolelepis squamata,Scolelepis squamata,NA
Scoletoma zonata,Scoletoma zonata,1039075
Scoloplos armiger,Scoloplos armiger,NA
Scoloplos armiger alaskensis,Scoloplos armiger alaskensis,NA
Scoloplos armiger armiger,Scoloplos armiger armiger,NA
Scoloplos sp,Scoloplos,NA
Siliqua sp,Siliqua,NA
Sipuncula,Sipuncula,NA
Solen sicarius,Solen sicarius,413523
Sphaerosyllis californiensis,Sphaerosyllis californiensis,332003
Spionidae,Spionidae,913
Spiophanes berkeleyorum,Spiophanes berkeleyorum,NA
Spiophanes bombyx,Spiophanes bombyx,131187
Spiromoellaria quadrae,Spiromoellaria quadrae,NA
Streblospio benedicti,Streblospio benedicti,NA
Syllidae,Syllidae,NA
Syllides sp,Syllides,NA
Tellina modesta,Tellina modesta,NA
Tellina sp,Tellina,NA
Tetrastemma sp,Tetrastemma,NA
Tharyx parvus,Tharyx parvus,334924
Tharyx sp,Tharyx,NA
Tubulanus nothus,Tubulanus nothus,122635
Tubulanus polymorphus,Tubulanus polymorphus,122637
Upogebia pugettensis,Upogebia pugettensis,367757
